name,declared_effect,expected_effect,matches_anchor,has_numeric_policy,determinism_aware
moe_dispatch,collective,collective,1,0,0
moe_swiglu_block,pure,,1,1,0
momentum,pure,,1,0,0
mor_partition,pure,,1,0,0
mor_router,pure,,1,0,0
mor_scatter,pure,,1,0,0
mqa_attention,state,,1,1,1
msa_index_scores,pure,,1,0,0
msa_select_blocks,pure,,1,0,0
msa_sparse_attention,state,,1,0,0
mse_loss,pure,,1,0,0
mul,pure,,1,0,0
multi_head_attention,state,,1,1,1
ne,pure,,1,0,0
nonzero,pure,,1,0,0
normalize_group_advantages,pure,,1,0,0
ntk_rope,pure,,1,0,0
pack,movement,,1,0,0
pad,pure,,1,0,0
permute,pure,,1,0,0
persistent_cd_loss,pure,,1,0,0
popcount,pure,,1,0,0
pow,pure,,1,0,0
power_attn,state,,1,0,0
ppo_policy_loss,pure,,1,0,0
prod,pure,,1,0,0
qkv_projection,pure,,1,1,0
qr,pure,,1,0,0
quantize_fp4,pure,,1,1,0
quantize_fp6,pure,,1,1,0
quantize_fp8,pure,,1,1,0
quantize_nvfp4,pure,,1,1,0
rearrange,pure,,1,0,0
reciprocal,pure,,1,0,0
reduce,pure,,1,0,0
reduce_scatter,collective,collective,1,0,0
relu,pure,pure,1,0,0
repeat,pure,,1,0,0
reshape,pure,,1,0,0
retention,state,,1,0,0
rfft,pure,pure,1,1,0
rmsnorm,pure,pure,1,1,0
rmsnorm_safe,pure,,1,1,0
rng_normal,random,random,1,0,0
rng_uniform,random,random,1,0,0
roll,pure,,1,0,0
rope,pure,,1,0,0
rope_merge,pure,,1,0,0
rope_split,pure,,1,0,0
round,pure,,1,0,0
rsqrt,pure,,1,0,0
scatter,pure,,1,0,0
scatter_add,pure,,1,0,0
scatter_reduce,pure,,1,0,0
score_combine,pure,,1,0,0
score_matching_loss,pure,,1,0,0
sddmm,pure,,1,0,0
segment_reduce,pure,,1,0,0
select,pure,,1,0,0
selective_ssm,state,,1,0,0
sgd,pure,,1,0,0
sigmoid,pure,,1,0,0
sigmoid_safe,pure,,1,0,0
sign,pure,,1,0,0
silu,pure,pure,1,0,0
silu_mul,pure,,1,0,0
sin,pure,,1,0,0
sinh,pure,,1,0,0
slice,pure,,1,0,0
smooth_l1_loss,pure,,1,0,0
softcap,pure,,1,0,0
softmax,pure,pure,1,1,1
softmax_safe,pure,,1,1,1
softplus,pure,,1,0,0
sort,pure,,1,0,0
spectral_conv,pure,,1,1,0
spectral_filter,pure,,1,1,0
split,pure,,1,0,0
spmm_coo,pure,,1,0,0
spmm_csr,pure,,1,0,0
sqrt,pure,,1,0,0
squeeze,pure,,1,0,0
stack,pure,,1,0,0
std,pure,,1,0,0
stereographic,pure,,1,0,0
stft,pure,,1,1,0
sub,pure,,1,0,0
sum,pure,,1,0,0
svd,pure,,1,0,0
take,pure,,1,0,0
tan,pure,,1,0,0
tanh,pure,,1,0,0
tile,pure,,1,0,0
tile_view,pure,,1,0,0
top_k,pure,,1,0,0
transpose,pure,pure,1,0,0
tri_solve,pure,,1,0,0
trunc,pure,,1,0,0
unpack,movement,,1,0,0
unsqueeze,pure,,1,0,0
var,pure,,1,0,0
view,pure,,1,0,0
vlb_loss,pure,,1,0,0
weight_norm,pure,,1,1,0
where,pure,,1,0,0
z_loss,pure,,1,0,0
