lane,host,device,family,frontend,graph_opt,schedule_tile,native_lowering,execution,alpha_complete
bear_cpu,The-Super-Bear,Zen 2 AVX2,softmax,bypass,unmeasured,bypass,partial,native,no
bear_cpu,The-Super-Bear,Zen 2 AVX2,reduction,bypass,unmeasured,bypass,partial,native,no
bear_cpu,The-Super-Bear,Zen 2 AVX2,norm,bypass,unmeasured,unrouted,partial,absent,no
bear_cpu,The-Super-Bear,Zen 2 AVX2,attention,bypass,unmeasured,native,partial,absent,no
bear_cpu,The-Super-Bear,Zen 2 AVX2,paged_kv,bypass,unmeasured,unrouted,partial,absent,no
bear_cpu,The-Super-Bear,Zen 2 AVX2,moe,bypass,unmeasured,unrouted,partial,absent,no
bear_cpu,The-Super-Bear,Zen 2 AVX2,linalg,bypass,unmeasured,unrouted,partial,absent,no
bear_cpu,The-Super-Bear,Zen 2 AVX2,epilogue,bypass,unmeasured,unrouted,partial,absent,no
bear_cpu,The-Super-Bear,Zen 2 AVX2,replay_ssm,bypass,unmeasured,unrouted,partial,absent,no
bear_cpu,The-Super-Bear,Zen 2 AVX2,ppo,bypass,unmeasured,unrouted,partial,absent,no
bear_cpu,The-Super-Bear,Zen 2 AVX2,ebm,bypass,unmeasured,unrouted,partial,absent,no
bear_cpu,The-Super-Bear,Zen 2 AVX2,clifford,bypass,unmeasured,unrouted,partial,absent,no
bear_gpu,The-Super-Bear,sm_120,matmul,bypass,unmeasured,native,absent,native,no
bear_gpu,The-Super-Bear,sm_120,softmax,bypass,unmeasured,native,absent,native,no
bear_gpu,The-Super-Bear,sm_120,reduction,bypass,unmeasured,native,absent,native,no
bear_gpu,The-Super-Bear,sm_120,norm,bypass,unmeasured,native,absent,absent,no
bear_gpu,The-Super-Bear,sm_120,attention,bypass,unmeasured,native,absent,native,no
bear_gpu,The-Super-Bear,sm_120,paged_kv,bypass,unmeasured,bypass,absent,native,no
bear_gpu,The-Super-Bear,sm_120,moe,bypass,unmeasured,unrouted,absent,native,no
bear_gpu,The-Super-Bear,sm_120,linalg,bypass,unmeasured,unrouted,absent,absent,no
bear_gpu,The-Super-Bear,sm_120,epilogue,bypass,unmeasured,unrouted,absent,native,no
bear_gpu,The-Super-Bear,sm_120,replay_ssm,bypass,unmeasured,unrouted,absent,native,no
bear_gpu,The-Super-Bear,sm_120,ppo,bypass,unmeasured,unrouted,absent,absent,no
bear_gpu,The-Super-Bear,sm_120,ebm,bypass,unmeasured,unrouted,absent,absent,no
bear_gpu,The-Super-Bear,sm_120,clifford,bypass,unmeasured,unrouted,absent,absent,no
taj_cpu,Tajasarus,Zen 5 AVX-512,matmul,bypass,unmeasured,native,partial,packet_pending,no
taj_cpu,Tajasarus,Zen 5 AVX-512,softmax,bypass,unmeasured,bypass,partial,packet_pending,no
taj_cpu,Tajasarus,Zen 5 AVX-512,reduction,bypass,unmeasured,bypass,partial,packet_pending,no
taj_cpu,Tajasarus,Zen 5 AVX-512,norm,bypass,unmeasured,unrouted,partial,absent,no
taj_cpu,Tajasarus,Zen 5 AVX-512,attention,bypass,unmeasured,native,partial,packet_pending,no
taj_cpu,Tajasarus,Zen 5 AVX-512,paged_kv,bypass,unmeasured,unrouted,partial,absent,no
taj_cpu,Tajasarus,Zen 5 AVX-512,moe,bypass,unmeasured,unrouted,partial,absent,no
taj_cpu,Tajasarus,Zen 5 AVX-512,linalg,bypass,unmeasured,unrouted,partial,packet_pending,no
taj_cpu,Tajasarus,Zen 5 AVX-512,epilogue,bypass,unmeasured,unrouted,partial,absent,no
taj_cpu,Tajasarus,Zen 5 AVX-512,replay_ssm,bypass,unmeasured,unrouted,partial,absent,no
taj_cpu,Tajasarus,Zen 5 AVX-512,ppo,bypass,unmeasured,unrouted,partial,absent,no
taj_cpu,Tajasarus,Zen 5 AVX-512,ebm,bypass,unmeasured,unrouted,partial,absent,no
taj_cpu,Tajasarus,Zen 5 AVX-512,clifford,bypass,unmeasured,unrouted,partial,absent,no
taj_gpu,Tajasarus,gfx1201,matmul,bypass,unmeasured,unrouted,absent,absent,no
taj_gpu,Tajasarus,gfx1201,softmax,bypass,unmeasured,bypass,absent,absent,no
taj_gpu,Tajasarus,gfx1201,reduction,bypass,unmeasured,bypass,absent,absent,no
taj_gpu,Tajasarus,gfx1201,norm,bypass,unmeasured,unrouted,absent,absent,no
taj_gpu,Tajasarus,gfx1201,attention,bypass,unmeasured,native,absent,absent,no
taj_gpu,Tajasarus,gfx1201,paged_kv,bypass,unmeasured,bypass,absent,absent,no
taj_gpu,Tajasarus,gfx1201,moe,bypass,unmeasured,bypass,absent,absent,no
taj_gpu,Tajasarus,gfx1201,linalg,bypass,unmeasured,unrouted,absent,absent,no
taj_gpu,Tajasarus,gfx1201,epilogue,bypass,unmeasured,unrouted,absent,absent,no
taj_gpu,Tajasarus,gfx1201,replay_ssm,bypass,unmeasured,unrouted,absent,absent,no
taj_gpu,Tajasarus,gfx1201,ppo,bypass,unmeasured,unrouted,absent,absent,no
taj_gpu,Tajasarus,gfx1201,ebm,bypass,unmeasured,unrouted,absent,absent,no
taj_gpu,Tajasarus,gfx1201,clifford,bypass,unmeasured,unrouted,absent,absent,no
