op_name,family,cpu_status,cpu_framework,cpu_dtypes,cpu_symbol,cpu_execution_kind,gpu_status,gpu_framework,gpu_dtypes,gpu_symbol,gpu_dispatch,proof_test,notes
clifford_norm_squared,ga,reference,numpy_reference,fp32,,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_clifford_norm_squared_cl30_{fp32},manifest,benchmarks/apple_gpu/benchmark_ga_ebm.py,
clifford_reverse,ga,reference,numpy_reference,fp32,,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_clifford_reverse_cl30_{fp32},manifest,benchmarks/apple_gpu/benchmark_ga_ebm.py,
clifford_rotor_sandwich,ga,reference,numpy_reference,fp32,,numpy_reference,fused,Metal (MSL),"fp32,fp16,bf16","tessera_apple_gpu_clifford_rotor_sandwich_cl30_{fp32,fp16,bf16}",manifest,benchmarks/apple_gpu/benchmark_ga_ebm.py,
clifford_rotor_sandwich_norm,ga,reference,numpy_reference,fp32,,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_clifford_rotor_sandwich_norm_cl30_{fp32},manifest,benchmarks/apple_gpu/benchmark_ga_ebm.py,
clifford_vec_deriv,ga,reference,numpy_reference,fp32,,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_clifford_vec_deriv_cl30_{fp32},manifest,benchmarks/apple_gpu/benchmark_ga_ebm.py,
clifford_wedge,ga,reference,numpy_reference,fp32,,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_clifford_wedge_cl30_{fp32},manifest,benchmarks/apple_gpu/benchmark_ga_ebm.py,
complex_exp,m7,reference,numpy_reference,fp32,,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_complex_exp_f32,manifest,tests/unit/test_complex_*.py,
complex_mobius,m7,reference,numpy_reference,fp32,,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_complex_mobius_f32,manifest,tests/unit/test_complex_*.py,
complex_mul,m7,reference,numpy_reference,fp32,,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_complex_mul_f32,manifest,tests/unit/test_complex_*.py,
complex_stereographic,m7,reference,numpy_reference,fp32,,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_complex_stereographic_f32,manifest,tests/unit/test_complex_*.py,
adam,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,Metal (MSL),fp32,tessera_apple_gpu_optimizer_f32,driver,tests/unit/test_apple_gpu_optimizer_compiled.py,
adamw,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,Metal (MSL),fp32,tessera_apple_gpu_optimizer_f32,driver,tests/unit/test_apple_gpu_optimizer_compiled.py,
alibi,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
arange,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
argsort,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
asymmetric_bce,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
attn_compressed_blocks,tensor,reference,numpy_reference,fp32,,numpy_reference,fused,,fp32,,manifest,tests/unit/test_apple_*.py,
attn_local_window_2d,tensor,reference,numpy_reference,fp32,,numpy_reference,fused,,fp32,,manifest,tests/unit/test_apple_*.py,
attn_top_k_blocks,tensor,reference,numpy_reference,fp32,,numpy_reference,fused,,fp32,,manifest,tests/unit/test_apple_*.py,
batched_gemm,tensor,fused,numpy_reference,fp32,,numpy_reference,absent,,,,absent,tests/unit/test_apple_*.py,
bidirectional_scan,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
binary_cross_entropy_loss,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
bmm,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_abi,,"fp32,fp16,bf16","tessera_apple_gpu_bmm_dev_{f32,f16,bf16}_enc",driver,tests/unit/test_apple_*.py,
bsmm,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,MetalPerformanceShaders (dense-block ABI),fp32,tessera_apple_gpu_mps_matmul_f32 (dense-block ABI),driver,tests/unit/test_apple_gpu_bsmm_compiled.py,
cast,tensor,reference,numpy_reference,fp32,,numpy_reference,fused,,"fp32,fp16,bf16",,manifest,tests/unit/test_apple_gpu_resident_mlp.py,
center_crop,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
cholesky_solve,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
cispo_policy_loss,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
contrastive_divergence_loss,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
conv1d,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,"fp32,fp16",,manifest,tests/unit/test_apple_*.py,
conv2d,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_abi,,"fp32,fp16,bf16","tessera_apple_gpu_conv2d_dev_{f32,f16,bf16}_enc",driver,tests/unit/test_apple_*.py,
conv_transpose,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,"fp32,fp16",,manifest,tests/unit/test_apple_*.py,
cross_attention,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
